GO	evalue
GO:0044732	0.0
GO:0045132	0.0
GO:0045143	0.0
GO:0045787	0.0
GO:0050000	0.0
GO:0051010	0.0
GO:0051012	0.0
GO:0051130	0.0
GO:0051303	0.0
GO:0051310	0.0
GO:0051315	0.0
GO:0051316	0.0
GO:0051321	0.0
GO:0051455	0.0
GO:0051493	0.0
GO:0051495	0.0
GO:0051640	0.0
GO:0051656	0.0
GO:0051726	0.0
GO:0051983	0.0
GO:0051984	0.0
GO:0051987	0.0
GO:0051988	0.0
GO:0055028	0.0
GO:0061982	0.0
GO:0070507	0.0
GO:0072686	0.0
GO:0090068	0.0
GO:0098687	0.0
GO:0099080	0.0
GO:0099081	0.0
GO:0099512	0.0
GO:0099513	0.0
GO:0140013	0.0
GO:1902850	0.0
GO:1902903	0.0
GO:1902905	0.0
GO:1903046	0.0
GO:1905185	0.0
GO:1990498	0.0
GO:1990537	0.0
GO:1990758	0.0
GO:1990942	0.0
GO:0000814	0.0
GO:0006511	0.0
GO:0006886	0.0
GO:0008104	0.0
GO:0015031	0.0
GO:0015833	0.0
GO:0019941	0.0
GO:0032511	0.0
GO:0033036	0.0
GO:0033365	0.0
GO:0034613	0.0
GO:0036452	0.0
GO:0042886	0.0
GO:0043162	0.0
GO:0043328	0.0
GO:0043632	0.0
GO:0045184	0.0
GO:0045324	0.0
GO:0070727	0.0
GO:0071702	0.0
GO:0071705	0.0
GO:0072594	0.0
GO:0072665	0.0
GO:0072666	0.0
GO:0098796	0.0
GO:0000082	0.0
GO:0000086	0.0
GO:0000151	0.0
GO:0000152	0.0
GO:0003676	0.0
GO:0003677	0.0
GO:0003688	0.0
GO:0003690	0.0
GO:0006275	0.0
GO:0007346	0.0
GO:0008156	0.0
GO:0009889	0.0
GO:0009890	0.0
GO:0009892	0.0
GO:0010556	0.0
GO:0010558	0.0
GO:0010605	0.0
GO:0010948	0.0
GO:0019005	0.0
GO:0019219	0.0
GO:0030174	0.0
GO:0030674	0.0
GO:0031146	0.0
GO:0031324	0.0
GO:0031326	0.0
GO:0031327	0.0
GO:0031461	0.0
GO:0031625	0.0
GO:0032297	0.0
GO:0033262	0.0
GO:0043161	0.0
GO:0043224	0.0
GO:0043565	0.0
GO:0044389	0.0
GO:0044770	0.0
GO:0044772	0.0
GO:0044839	0.0
GO:0044843	0.0
GO:0045786	0.0
GO:0045930	0.0
GO:0045934	0.0
GO:0051052	0.0
GO:0051053	0.0
GO:0051172	0.0
GO:0060090	0.0
GO:0090329	0.0
GO:1902494	0.0
GO:1902576	0.0
GO:1903463	0.0
GO:1903464	0.0
GO:1903466	0.0
GO:1903467	0.0
GO:1990234	0.0
GO:1990837	0.0
GO:2000104	0.0
GO:2000112	0.0
GO:2000113	0.0
GO:0000731	0.0
GO:0002039	0.0
GO:0003824	0.0
GO:0004842	0.0
GO:0005102	0.0
GO:0005654	0.0
GO:0006139	0.0
GO:0006259	0.0
GO:0006281	0.0
GO:0006301	0.0
GO:0006464	0.0
GO:0006725	0.0
GO:0006974	0.0
GO:0008270	0.0
GO:0009058	0.0
GO:0009059	0.0
GO:0009894	0.0
GO:0009896	0.0
GO:0016567	0.0
GO:0016604	0.0
GO:0016607	0.0
GO:0016740	0.0
GO:0018130	0.0
GO:0019438	0.0
GO:0019787	0.0
GO:0019985	0.0
GO:0030162	0.0
GO:0031329	0.0
GO:0031331	0.0
GO:0031396	0.0
GO:0031398	0.0
GO:0032434	0.0
GO:0032436	0.0
GO:0032446	0.0
GO:0034641	0.0
GO:0034645	0.0
GO:0034654	0.0
GO:0036211	0.0
GO:0042176	0.0
GO:0042802	0.0
GO:0042803	0.0
GO:0043169	0.0
GO:0043412	0.0
GO:0044249	0.0
GO:0044271	0.0
GO:0044451	0.0
GO:0045732	0.0
GO:0045862	0.0
GO:0046483	0.0
GO:0046872	0.0
GO:0046914	0.0
GO:0046983	0.0
GO:0051865	0.0
GO:0061136	0.0
GO:0061630	0.0
GO:0061659	0.0
GO:0070647	0.0
GO:0070987	0.0
GO:0071897	0.0
GO:0090304	0.0
GO:0140096	0.0
GO:1901360	0.0
GO:1901362	0.0
GO:1901576	0.0
GO:1901800	0.0
GO:1903050	0.0
GO:1903052	0.0
GO:1903320	0.0
GO:1903322	0.0
GO:1903362	0.0
GO:1903364	0.0
GO:2000058	0.0
GO:2000060	0.0
GO:0000027	0.0
GO:0003006	0.0
GO:0004721	0.0
GO:0004725	0.0
GO:0006470	0.0
GO:0006793	0.0
GO:0006796	0.0
GO:0008138	0.0
GO:0009272	0.0
GO:0009653	0.0
GO:0010494	0.0
GO:0010506	0.0
GO:0010508	0.0
GO:0010927	0.0
GO:0016239	0.0
GO:0016241	0.0
GO:0016311	0.0
GO:0016787	0.0
GO:0016788	0.0
GO:0016791	0.0
GO:0019953	0.0
GO:0022413	0.0
GO:0022607	0.0
GO:0022613	0.0
GO:0022618	0.0
GO:0030154	0.0
GO:0030435	0.0
GO:0030437	0.0
GO:0030476	0.0
GO:0030684	0.0
GO:0030687	0.0
GO:0031505	0.0
GO:0032505	0.0
GO:0032989	0.0
GO:0034293	0.0
GO:0034622	0.0
GO:0035335	0.0
GO:0035770	0.0
GO:0036464	0.0
GO:0042244	0.0
GO:0042254	0.0
GO:0042255	0.0
GO:0042273	0.0
GO:0042546	0.0
GO:0042578	0.0
GO:0043933	0.0
GO:0043934	0.0
GO:0043935	0.0
GO:0044085	0.0
GO:0044088	0.0
GO:0044090	0.0
GO:0044703	0.0
GO:0045229	0.0
GO:0048468	0.0
GO:0048646	0.0
GO:0048869	0.0
GO:0065003	0.0
GO:0070590	0.0
GO:0070591	0.0
GO:0070726	0.0
GO:0070925	0.0
GO:0071554	0.0
GO:0071555	0.0
GO:0071826	0.0
GO:0071852	0.0
GO:0071940	0.0
GO:1902115	0.0
GO:1902117	0.0
GO:1990904	0.0
GO:2000785	0.0
GO:2000786	0.0
GO:0004392	0.0
GO:0006778	0.0
GO:0006787	0.0
GO:0006788	0.0
GO:0006979	0.0
GO:0016491	0.0
GO:0016705	0.0
GO:0019439	0.0
GO:0020037	0.0
GO:0033013	0.0
GO:0033015	0.0
GO:0042167	0.0
GO:0042168	0.0
GO:0042440	0.0
GO:0042592	0.0
GO:0044270	0.0
GO:0046149	0.0
GO:0046700	0.0
GO:0046906	0.0
GO:0048037	0.0
GO:0048878	0.0
GO:0050801	0.0
GO:0051186	0.0
GO:0051187	0.0
GO:0055065	0.0
GO:0055072	0.0
GO:0055076	0.0
GO:0055080	0.0
GO:0055114	0.0
GO:0065008	0.0
GO:0098771	0.0
GO:1901361	0.0
GO:0003008	0.0
GO:0007600	0.0
GO:0007601	0.0
GO:0032501	0.0
GO:0050877	0.0
GO:0050953	0.0
GO:0072657	0.0
GO:0072659	0.0
GO:1990778	0.0
GO:0005739	0.0
GO:0006915	0.0
GO:0008219	0.0
GO:0010821	0.0
GO:0010822	0.0
GO:0010941	0.0
GO:0010942	0.0
GO:0010950	0.0
GO:0010952	0.0
GO:0012501	0.0
GO:0042981	0.0
GO:0043065	0.0
GO:0043067	0.0
GO:0043068	0.0
GO:0043280	0.0
GO:0043281	0.0
GO:0052547	0.0
GO:0052548	0.0
GO:0090199	0.0
GO:0090200	0.0
GO:0097190	0.0
GO:0097193	0.0
GO:2000116	0.0
GO:2001056	0.0
GO:2001233	0.0
GO:2001235	0.0
GO:0005048	0.0
GO:0005215	0.0
GO:0005635	0.0
GO:0006606	0.0
GO:0006913	0.0
GO:0008139	0.0
GO:0008565	0.0
GO:0010468	0.0
GO:0017038	0.0
GO:0031965	0.0
GO:0031967	0.0
GO:0031975	0.0
GO:0033218	0.0
GO:0034504	0.0
GO:0042277	0.0
GO:0043484	0.0
GO:0048024	0.0
GO:0050684	0.0
GO:0051169	0.0
GO:0051170	0.0
GO:0051252	0.0
GO:1903311	0.0
GO:0000287	0.0
GO:0001516	0.0
GO:0004364	0.0
GO:0004601	0.0
GO:0004602	0.0
GO:0004667	0.0
GO:0005509	0.0
GO:0006082	0.0
GO:0006518	0.0
GO:0006575	0.0
GO:0006629	0.0
GO:0006631	0.0
GO:0006633	0.0
GO:0006636	0.0
GO:0006690	0.0
GO:0006692	0.0
GO:0006693	0.0
GO:0006749	0.0
GO:0006790	0.0
GO:0008285	0.0
GO:0008610	0.0
GO:0009636	0.0
GO:0016053	0.0
GO:0016209	0.0
GO:0016684	0.0
GO:0016765	0.0
GO:0016853	0.0
GO:0016860	0.0
GO:0019752	0.0
GO:0032787	0.0
GO:0033559	0.0
GO:0042127	0.0
GO:0043436	0.0
GO:0043603	0.0
GO:0043900	0.0
GO:0043901	0.0
GO:0044255	0.0
GO:0044281	0.0
GO:0044283	0.0
GO:0046394	0.0
GO:0046456	0.0
GO:0046457	0.0
GO:0051239	0.0
GO:0051241	0.0
GO:0070887	0.0
GO:0072330	0.0
GO:0097237	0.0
GO:0098754	0.0
GO:0098869	0.0
GO:1901568	0.0
GO:1901570	0.0
GO:1905936	0.0
GO:1905937	0.0
GO:1990748	0.0
GO:2000241	0.0
GO:2000242	0.0
GO:2000254	0.0
GO:2000255	0.0
GO:0000902	0.0
GO:0000904	0.0
GO:0001941	0.0
GO:0003779	0.0
GO:0005794	0.0
GO:0005802	0.0
GO:0006892	0.0
GO:0006895	0.0
GO:0007015	0.0
GO:0007030	0.0
GO:0007163	0.0
GO:0007275	0.0
GO:0007399	0.0
GO:0007409	0.0
GO:0007411	0.0
GO:0008154	0.0
GO:0010256	0.0
GO:0016477	0.0
GO:0016482	0.0
GO:0022008	0.0
GO:0030010	0.0
GO:0030029	0.0
GO:0030030	0.0
GO:0030036	0.0
GO:0030041	0.0
GO:0030182	0.0
GO:0030424	0.0
GO:0030426	0.0
GO:0030427	0.0
GO:0031175	0.0
GO:0031532	0.0
GO:0031594	0.0
GO:0031984	0.0
GO:0032153	0.0
GO:0032154	0.0
GO:0032155	0.0
GO:0032990	0.0
GO:0033267	0.0
GO:0042995	0.0
GO:0043005	0.0
GO:0043113	0.0
